No,충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,경도,위도
1,북한산국립공원 정릉 주차장(정릉탐방지원센터),성북구 정릉동 829-5 외,서울특별시,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,서울특별시 성북구 정릉동 829-1,,환경부(한국자동차환경협회),,37.6184958487386,126.996880503879,2019-05-31,,
2,이마트 미아점,성북구 도봉로 17 주차동3층 3E구역,서울특별시,연중무휴,00:00,24:00,Y,N,AC완속,1,0,Y,서울특별시 성북구 도봉로 17,,포스코ICT,1600-4047,37.6109104243767,127.029366141313,2019-05-31,,
3,국민대,서울특별시 성북구 정릉동 861-17호관 주차장,서울특별시,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모+DC콤보,0,2,Y,서울특별시 성북구 정릉로 77,,한국전력,1899-2100,37.6118033240248,126.993852078844,2019-05-31,,
4,홈플러스 월곡점,성북구 화랑로 76 지하 3층  98구역,서울특별시,연중무휴,10:00,24:00,N,Y,AC3상+DC차데모,0,1,Y,서울특별시 성북구 화랑로 76,,환경부(한국자동차환경협회),1661-9408,37.6018280646414,127.040463985575,2019-05-31,,
5,성북벤처빌딩 공영주차장,성북구 장위2동 65-154,서울특별시,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,서울특별시 성북구 화랑로 211,,환경부(한국자동차환경협회),1661-9408,37.6093541558532,127.05303427373,2019-05-31,,
6,고려대학교,성북구 안암동5가1-2,서울특별시,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모+DC콤보,0,2,Y,서울특별시 성북구 안암로 145,,한국전력,02-901-4266,37.5928176305528,127.026403996203,2019-05-31,,
7,고려대학교(자연과학),성북구 안암동5가1-2,서울특별시,연중무휴,00:00,24:00,Y,Y,AC3상+DC차데모+DC콤보,1,1,Y,서울특별시 성북구 안암로 145,,한국전력,02-901-4266,37.5928176305528,127.026403996203,2019-05-31,,
8,성북구 보건소,서울특별시 성북구 화랑로 63 지하1층 주차장,서울특별시,연중무휴,09:00,18:00,Y,N,AC완속,1,0,Y,서울특별시 성북구 화랑로 63,,포스코ICT,1600-4047,37.6027089221303,127.039532427291,2019-05-31,,
9,이마트 하월곡점,서울특별시 성북구 종암로 167 본관B5층 30구역,서울특별시,연중무휴,00:00,24:00,Y,N,AC완속,2,0,Y,서울특별시 성북구 종암로 167,,포스코ICT,1600-4047,37.6050581660551,127.030990530677,2019-05-31,,
10,서경대학교 1주차장,서경로 124 (정릉동),서울특별시,연중무휴,00:00,23:55,Y,N,AC완속,2,0,Y,서울특별시 성북구 서경로 124,,에버온,1661-7766,37.6154116374658,127.01356381561,2019-05-31,,
11,서경대학교 2주차장,서경로 124 (정릉동),서울특별시,연중무휴,00:00,23:55,Y,N,AC완속,5,0,Y,서울특별시 성북구 서경로 124,,에버온,1661-7766,37.6154116374658,127.01356381561,2019-05-31,,
12,성북소방서,종암로 27길 3 주차장,서울특별시,주말,09:00,18:00,Y,N,AC완속,1,0,Y,서울특별시 성북구 종암로 27길 3,,포스코ICT,1600-4047,37.6024214065716,127.031746996734,2019-05-31,,
